file,trajectory_format,system_messages,user_messages,assistant_messages,tool_messages,other_messages,total_messages,exit_status,api_calls,instance_cost,failed_tool_observations
data\claude_4_5_opus_high_reasoning\trajectories\01d64b7b-9e56-4106-b0f0-9c0df7d011f8.json,docent-transcript-export,1,1,21,28,0,51,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\02e8349d-6e72-4c6d-8dc9-fda68484b5cb.json,docent-transcript-export,1,1,40,50,0,92,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\04c1fc64-17c0-4903-854d-af51762337ac.json,docent-transcript-export,1,1,32,35,0,69,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0577f4cd-ec66-4a77-a9b5-2e09c79af83b.json,docent-transcript-export,1,1,51,61,0,114,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\06304cc4-ea4d-4680-bef2-a78af28c0972.json,docent-transcript-export,1,1,35,47,0,84,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\071bcd8a-a8a2-402f-931d-55cf53408f21.json,docent-transcript-export,1,1,29,30,0,61,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\078cccac-72f4-4c39-ab7c-00fa57948b1d.json,docent-transcript-export,1,1,48,57,0,107,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\07a89db9-6689-4815-b60c-d1fd1571230c.json,docent-transcript-export,1,1,27,36,0,65,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0a14a0f1-7817-4b28-a971-5f13a82b95bc.json,docent-transcript-export,1,1,22,22,0,46,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0ad49f7a-2863-4238-8cfd-7d3bb251fda1.json,docent-transcript-export,1,1,21,22,0,45,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0b5764d0-35c0-499a-b509-5a692a040bc2.json,docent-transcript-export,1,1,19,19,0,40,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0c69ca3e-3b3b-4e98-8026-916e90323208.json,docent-transcript-export,1,1,19,20,0,41,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0cd68248-1f0e-4653-a3cf-e0e1e640898b.json,docent-transcript-export,1,1,51,54,0,107,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0cd6a3cf-b556-49c6-b06a-a8cd2f1f5f97.json,docent-transcript-export,1,1,34,44,0,80,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0d3fe93a-036e-4f15-9e07-bf58955cea63.json,docent-transcript-export,1,1,67,78,0,147,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0da906be-5fe1-4d4c-98e3-a42028500569.json,docent-transcript-export,1,1,53,69,0,124,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0da92014-703b-4ee0-b9ef-59d1647b9a56.json,docent-transcript-export,1,1,31,37,0,70,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0e1f45af-06c1-464b-a3aa-8f089b09c164.json,docent-transcript-export,1,1,57,62,0,121,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0ebbb021-f0a7-4177-88ff-70d19b02f5c8.json,docent-transcript-export,1,1,40,44,0,86,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0f29008e-462c-4247-bf15-c25d6060a2b3.json,docent-transcript-export,1,1,30,35,0,67,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0fbf677a-68e6-4c1e-9a9c-ed3e451c1b37.json,docent-transcript-export,1,1,61,67,0,130,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0fdfa282-d97b-4bf1-9352-62990144003e.json,docent-transcript-export,1,1,15,15,0,32,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\0fe13033-bc3a-4f34-bd3f-f0d2b96c5ec0.json,docent-transcript-export,1,1,13,13,0,28,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\11165c40-6e76-46b4-8e49-5a8e606b8369.json,docent-transcript-export,1,1,39,43,0,84,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1232e361-246d-4e9e-9923-e37bb1573925.json,docent-transcript-export,1,1,25,27,0,54,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\125f2de2-238b-4b73-8309-768f84ce42c9.json,docent-transcript-export,1,1,18,19,0,39,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\12984d20-e790-4e98-8f07-0fb961bc479a.json,docent-transcript-export,1,1,41,52,0,95,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\12c80b94-4285-4265-b0ad-4b7c00c296bb.json,docent-transcript-export,1,1,21,22,0,45,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\12dd8f93-fa57-4a22-8140-ad207d2f8998.json,docent-transcript-export,1,1,30,30,0,62,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\14d31d72-9bcf-4cf0-9438-ac5048fa1068.json,docent-transcript-export,1,1,39,47,0,88,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1511cd1d-9912-4cfc-89ed-e4ffab18f967.json,docent-transcript-export,1,1,41,49,0,92,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1529a515-88e0-4355-9f48-86b413169d96.json,docent-transcript-export,1,1,42,48,0,92,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\15806c06-847c-4a22-8bd0-ff7a8d923859.json,docent-transcript-export,1,1,22,22,0,46,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\15f38ce9-50c8-494a-ba9d-625537db6853.json,docent-transcript-export,1,1,30,35,0,67,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\164ac867-e690-44cf-a58e-a3cd38d0ae90.json,docent-transcript-export,1,1,23,24,0,49,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\16a78a23-e2e4-4864-af32-5640d0ba49c7.json,docent-transcript-export,1,1,26,27,0,55,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\16ba1407-0abe-458c-a7aa-3dc12b49b62e.json,docent-transcript-export,1,1,17,18,0,37,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1744229f-df3a-4a57-901e-e9016ce25740.json,docent-transcript-export,1,1,32,36,0,70,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\18112af7-8d94-482f-9691-698e772cf339.json,docent-transcript-export,1,1,43,88,0,133,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1886cd4b-4dd5-44e4-842c-963c8e797608.json,docent-transcript-export,1,1,50,73,0,125,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\18d2bedb-5ead-4e0c-86f2-e896f5852616.json,docent-transcript-export,1,1,34,39,0,75,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\19224774-995d-40be-86ce-449848d3fe1d.json,docent-transcript-export,1,1,25,33,0,60,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\19c7c6fe-06b3-4e4f-8309-c596caa8bda4.json,docent-transcript-export,1,1,25,26,0,53,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1a5a71cc-953a-4a13-9393-0c2977821560.json,docent-transcript-export,1,1,24,26,0,52,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1aeb364d-f7ed-4540-87b9-cdcabedced86.json,docent-transcript-export,1,1,13,14,0,29,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1beca283-e4b3-4862-abc0-2b20270e2b56.json,docent-transcript-export,1,1,28,36,0,66,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1c459784-f8c2-4a7b-bdd4-589957a42201.json,docent-transcript-export,1,1,48,57,0,107,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1c8994f3-82ec-469a-a65a-177d91aba604.json,docent-transcript-export,1,1,41,46,0,89,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1ca8b10c-7dae-4b0f-b69b-ae034be04cea.json,docent-transcript-export,1,1,53,57,0,112,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1d16ecef-7d2c-4c0c-a66d-d3f4fda294b9.json,docent-transcript-export,1,1,18,18,0,38,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1d7acc39-2200-4f97-8c49-86600597e9bd.json,docent-transcript-export,1,1,73,93,0,168,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1dcbdb31-625c-4876-b06e-704cdbc158ae.json,docent-transcript-export,1,1,46,49,0,97,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1de0d079-f506-43e7-b1b7-a0cb6a3d1b77.json,docent-transcript-export,1,1,21,22,0,45,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1e0515dd-ba06-4cec-ba4b-34e47808a5c6.json,docent-transcript-export,1,1,43,44,0,89,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1e0b7cd6-3d1b-4f7c-95c6-d44fa73a660b.json,docent-transcript-export,1,1,32,36,0,70,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1e317291-0bea-44ce-bffe-151bd5280424.json,docent-transcript-export,1,1,56,60,0,118,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1ebc4600-4022-4a42-9e57-5414539b2bf9.json,docent-transcript-export,1,1,45,46,0,93,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1ef86be3-72bb-4477-9c6c-791a782c49ce.json,docent-transcript-export,1,1,50,58,0,110,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\1f66a7f5-78bb-420f-b07d-8bf3b2f5ae10.json,docent-transcript-export,1,1,43,47,0,92,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\208561b7-1ac4-473f-9c68-539eb63e339c.json,docent-transcript-export,1,1,20,26,0,48,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\213557f9-729e-4c72-aa3e-2196eb5384eb.json,docent-transcript-export,1,1,26,27,0,55,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\223e7d80-5230-4215-a9cb-72ae49c4da3e.json,docent-transcript-export,1,1,26,28,0,56,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\2472c1bd-8851-461d-9fcb-dbf5466694e1.json,docent-transcript-export,1,1,21,27,0,50,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\25f93da3-27f4-485c-b438-3fdbf90f8140.json,docent-transcript-export,1,1,60,75,0,137,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\26adfc9d-7752-4e50-9835-6c9b311013e7.json,docent-transcript-export,1,1,20,25,0,47,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\276b68b3-d073-4386-8ffd-bc6a5addbaa6.json,docent-transcript-export,1,1,23,23,0,48,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\27a9b06b-ed73-4237-812d-d19cfc88e952.json,docent-transcript-export,1,1,18,18,0,38,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\27fb3e9d-eaa6-4dd5-a30c-65b945129845.json,docent-transcript-export,1,1,40,41,0,83,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\28dc3294-cfd0-461f-b74b-7778b4fc2ddb.json,docent-transcript-export,1,1,28,33,0,63,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\29273749-3985-4ec6-8b44-3f304324bb34.json,docent-transcript-export,1,1,37,43,0,82,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\29afb0b4-68c0-4a9d-bbfe-2023bc8617cb.json,docent-transcript-export,1,1,24,25,0,51,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\2a441275-a2bb-4d1e-9132-004103d8660d.json,docent-transcript-export,1,1,45,49,0,96,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\2ae07481-b5c2-49e1-a9af-e0b0adb48b99.json,docent-transcript-export,1,1,22,23,0,47,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\2af68a5f-2437-4cff-b54d-b34764fe4482.json,docent-transcript-export,1,1,23,25,0,50,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\2b4d68cc-bec5-49d4-bff3-23a647c8fa36.json,docent-transcript-export,1,1,19,24,0,45,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\2ba60a29-f1b6-47bf-b0c0-a4650a78cff5.json,docent-transcript-export,1,1,20,21,0,43,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\2bdfe1bd-a0ad-4d3e-b900-f9c25e5f7f8d.json,docent-transcript-export,1,1,29,33,0,64,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\2c2ec246-6c31-4449-b977-f7584d33380e.json,docent-transcript-export,1,1,25,26,0,53,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\2c776e99-4e9c-4937-804c-3157b7767044.json,docent-transcript-export,1,1,48,57,0,107,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\2d65fbcb-d7ab-4aee-9ed2-689d83b9f75b.json,docent-transcript-export,1,1,20,23,0,45,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\2d807c17-11a3-43db-9657-e84ff5c1262a.json,docent-transcript-export,1,1,74,86,0,162,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\31394b0c-863b-4863-b95f-58af6d4d20fe.json,docent-transcript-export,1,1,32,33,0,67,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3222c75a-2a4e-4991-9e8b-900cf6a0782d.json,docent-transcript-export,1,1,37,43,0,82,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\326fd931-7ee6-4c13-841d-6815cbef8427.json,docent-transcript-export,1,1,36,40,0,78,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\32e7fde2-24b3-4f34-9aab-2be7a241a33e.json,docent-transcript-export,1,1,21,21,0,44,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\32eb95ca-e4b5-4f77-be7b-449a5f2da6ab.json,docent-transcript-export,1,1,62,63,0,127,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3466e91d-0bdd-4adb-b989-4bf2f00c8b6f.json,docent-transcript-export,1,1,51,60,0,113,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\34d94e71-73e3-41ab-87f1-00e360bd90aa.json,docent-transcript-export,1,1,41,42,0,85,,,,0
